referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,notes
RS03AXPS-SF03A-3C-PARADA301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/PARADA301_2025/PARADA301_20250805_201851_predeploy.JPG,1402,78452-00004,
RS03AXPS-PC03A-06-VADCPB301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/PC03A/PC03A_2025/VADCPA301_2025/VADCPA301_20250805_194202_predeploy.JPG,104546,ATAPL-78520-00002,
RS01SBPS-SF01A-3D-SPKIRA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/SPKIRA101_2025/SPKIRA101_20250813_225407_predeploy.JPG,267,ATAPL-58341-00004,
RS01SBPS-SF01A-3C-PARADA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PARADA101_2025/PARADA101_20250813_225442_predeploy.JPG,1401,00003,
RS01SBPS-SF01A-3B-OPTAAD101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/OPTAAD101_2025/,221,ATOSU-58332-00008,
RS01SBPS-PC01A-06-VADCPB101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PHSENA101_2025/PHSENA101_20250813_160956_predeploy.JPG,104567,ATAPL-78520-00001,
CE04OSPS-SF01B-3C-PARADA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/PARADA102_2025/,1404,58452-00006,
CE04OSPS-SF01B-2A-DOFSTA107,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/DOFSTA107_2025/,43-2853,ATAPL-58694-00004,
RS01SBPS-SF01A-2A-DOFSTA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/DOFSTA102_2025/DOFSTA102_20250813_161114_predeploy.JPG,43-3163,ATAPL-58694-00005,
RS03AXPS-SF03A-2A-DOFSTA302,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/DOFSTA302_2025/DOFSTA302_20250805_201336_predeploy.JPG,43-3164,ATAPL-58694-00006,
CE02SHBP-LJ01D-06-DOSTAD106,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1D/LJ01D/LJ01D_2025/DOSTAD106_2025/,311,ATOSU-58320-00019,
